,rent,size_m2,property_type,bedrooms,suite,parking,neighborhood
486,1.250,30,Kitnet ,1,1,, SUDOESTE
487,1.200,23,Apartamento ,1,,, ASA SUL
488,950,50,Apartamento ,2,1,1, RIACHO FUNDO
489,2.100,65,Apartamento ,2,,, SUDOESTE
490,1.000,58,Apartamento ,2,1,, JARDINS MANGUEIRAL
491,2.650,70,Apartamento ,2,,, SUDOESTE
492,750,31,Kitnet ,1,1,, RIACHO FUNDO
493,1.100,46,Apartamento ,1,1,, GUARA
494,2.850,67,Apartamento ,2,,, ASA SUL
495,650,30,Kitnet ,1,,, GUARA
496,1.000,29,Apartamento ,1,1,, AGUAS CLARAS
497,900,37,Apartamento ,1,,, GUARA
498,800,32,Apartamento ,1,1,, TAGUATINGA
499,3.300,82,Apartamento ,3,1,, SUDOESTE
500,1.400,50,Apartamento ,2,1,, GUARA
501,2.300,65,Apartamento ,1,1,1, AGUAS CLARAS
502,1.650,65,Apartamento ,2,,, GUARA
503,1.350,64,Apartamento ,3,1,1, SANTA MARIA
504,3.900,127,Apartamento ,3,1,2, AGUAS CLARAS
505,1.500,44,Apartamento ,2,1,, CEILANDIA
506,2.700,91,Apartamento ,3,1,1, AGUAS CLARAS
507,1.400,50,Apartamento ,2,1,, TAGUATINGA
508,4.100,87,Apartamento ,3,1,1, SUDOESTE
509,2.500,60,Apartamento ,1,1,1, LAGO NORTE
510,920,30,Kitnet ,1,1,1, CRUZEIRO
511,3.300,97,Apartamento ,4,3,2, AGUAS CLARAS
512,2.800,68,Apartamento ,2,1,2, AGUAS CLARAS
513,4.200,98,Apartamento ,3,1,1, SUDOESTE
514,6.800,120,Apartamento ,3,1,, NOROESTE
515,1.500,75,Apartamento ,1,1,1, LAGO NORTE
516,4.500,75,Apartamento ,2,1,1, NOROESTE
517,5.500,163,Apartamento ,3,1,1, ASA SUL
518,3.000,64,Apartamento ,1,1,1, ASA SUL
519,1.000,50,Apartamento ,1,,, TAGUATINGA
520,1.900,66,Apartamento ,2,1,, AGUAS CLARAS
521,1.000,30,Apartamento ,1,1,, LAGO NORTE
522,12.000,209,Apartamento ,4,1,2, ASA SUL
523,1.000,45,Kitnet ,1,1,, TAGUATINGA
524,800,35,Apartamento ,1,,, TAGUATINGA
525,6.000,134,Apartamento ,3,1,1, ASA NORTE
526,900,50,Apartamento ,1,1,, GUARA
527,8.000,127,Apartamento ,3,1,2, NOROESTE
528,1.300,42,Apartamento ,1,1,, AGUAS CLARAS
529,9.500,172,Apartamento ,4,2,4, NOROESTE
530,700,24,Kitnet ,1,,, NUCLEO BANDEIRANTE
531,900,43,Apartamento ,2,1,, PLANALTINA
532,5.200,120,Apartamento ,4,1,1, ASA NORTE
533,5.500,98,Apartamento ,3,1,1, ASA NORTE
534,1.100,49,Apartamento ,2,1,1, SAMAMBAIA
535,1.100,33,Apartamento ,1,1,1, GUARA
536,650,31,Apartamento ,1,1,, TAGUATINGA
537,3.000,95,Apartamento ,3,1,1, OCTOGONAL
538,1.050,47,Kitnet ,1,,, ASA NORTE
539,1.600,43,Apartamento ,2,,, AGUAS CLARAS
540,800,33,Kitnet ,1,,, AGUAS CLARAS
541,3.000,50,Apartamento ,1,,, NOROESTE
542,1.400,69,Apartamento ,2,1,, TAGUATINGA
543,2.000,80,Apartamento ,3,1,1, AGUAS CLARAS
544,1.500,26,Apartamento ,1,1,, PARK SUL
545,600,30,Apartamento ,1,,, TAGUATINGA
546,700,30,Apartamento ,1,,, GUARA
547,700,35,Apartamento ,1,1,, GUARA
548,3.400,26,Apartamento ,1,1,1, SUDOESTE
549,3.350,110,Apartamento ,3,1,, ASA SUL
550,650,23,Kitnet ,1,,, NUCLEO BANDEIRANTE
551,2.150,33,Apartamento ,1,1,, AGUAS CLARAS
552,1.900,51,Apartamento ,2,,, ASA NORTE
553,1.500,27,Kitnet ,1,1,, SUDOESTE
554,1.620,78,Apartamento ,3,1,, GUARA
555,6.600,158,Apartamento ,3,1,1, ASA SUL
556,1.500,50,Apartamento ,2,1,, TAGUATINGA
557,1.250,68,Apartamento ,2,1,, GAMA
558,2.500,39,Apartamento ,1,1,, NOROESTE
559,1.400,0,Apartamento ,2,1,, GAMA
560,1.300,30,Apartamento ,1,1,, AGUAS CLARAS
561,1.100,33,Apartamento ,1,,, ASA NORTE
562,650,50,Apartamento ,2,,, SAMAMBAIA
563,950,28,Kitnet ,1,1,, ASA NORTE
564,750,27,Apartamento ,1,1,, TAGUATINGA
565,1.500,40,Apartamento ,1,1,, AGUAS CLARAS
566,480,40,Kitnet ,1,1,, TAGUATINGA
567,5.000,80,Apartamento ,2,2,2, NOROESTE
568,1.500,59,Apartamento ,2,1,1, CEILANDIA
569,2.800,57,Apartamento ,2,1,, LAGO NORTE
570,5.000,198,Apartamento ,4,1,1, OCTOGONAL
571,900,50,Apartamento ,2,1,, CEILANDIA
572,4.190,122,Apartamento ,4,2,2, AGUAS CLARAS
573,1.650,30,Apartamento ,1,1,1, ASA NORTE
574,1.800,44,Apartamento ,2,2,, LAGO SUL
575,900,43,Apartamento ,2,1,, SAMAMBAIA
576,1.800,53,Apartamento ,2,1,1, AGUAS CLARAS
577,700,18,Kitnet ,1,,, ASA NORTE
578,5.500,178,Apartamento ,3,1,2, AGUAS CLARAS
579,4.000,107,Apartamento ,3,1,, SUDOESTE
580,1.350,32,Apartamento ,1,1,, AGUAS CLARAS
581,800,27,Apartamento ,1,,, ASA NORTE
582,2.000,65,Apartamento ,2,,, SUDOESTE
583,950,55,Apartamento ,2,1,, RIACHO FUNDO
584,650,30,Apartamento ,1,1,, CEILANDIA
585,3.000,26,Apartamento ,1,1,, SUDOESTE
586,660,40,Apartamento ,1,,, GUARA
587,4.700,110,Apartamento ,3,1,1, ASA NORTE
588,1.500,54,Apartamento ,2,1,, TAGUATINGA
589,4.300,160,Apartamento ,3,1,, ASA SUL
590,13.000,227,Apartamento ,4,,, ASA SUL
591,750,28,Kitnet ,1,1,, ASA NORTE
592,1.100,83,Apartamento ,3,1,, TAGUATINGA
593,1.300,32,Kitnet ,1,,, PARK SUL
594,3.900,109,Apartamento ,3,1,1, ASA NORTE
595,2.400,40,Apartamento ,1,1,, NOROESTE
596,900,43,Apartamento ,2,1,, PLANALTINA
597,1.600,50,Apartamento ,2,1,, JARDINS MANGUEIRAL
598,2.500,42,Apartamento ,1,1,, ASA NORTE
599,1.500,38,Apartamento ,1,,, ASA NORTE
600,850,27,Kitnet ,1,1,, ASA NORTE
601,2.400,92,Apartamento ,3,1,1, AGUAS CLARAS
602,2.300,30,Kitnet ,1,1,, NOROESTE
603,2.700,65,Apartamento ,2,1,, PARK WAY
604,2.500,80,Apartamento ,2,1,, AGUAS CLARAS
605,790,26,Kitnet ,1,1,, SUDOESTE
606,1.700,40,Apartamento ,1,,, SUDOESTE
607,950,55,Apartamento ,2,,, GUARA
608,1.400,33,Apartamento ,1,1,1, AGUAS CLARAS
609,2.500,70,Apartamento ,2,1,1, GUARA
610,4.900,115,Apartamento ,3,1,1, ASA SUL
611,2.300,62,Apartamento ,2,,, CRUZEIRO
612,1.300,80,Apartamento ,3,1,, CEILANDIA
613,4.800,91,Apartamento ,3,1,1, ASA NORTE
614,1.400,75,Apartamento ,2,1,1, TAGUATINGA
615,3.400,104,Apartamento ,3,1,2, AGUAS CLARAS
616,1.600,65,Apartamento ,3,1,, TAGUATINGA
617,6.200,85,Apartamento ,1,1,1, SUDOESTE
618,1.300,50,Apartamento ,2,,, GUARA
619,2.900,70,Apartamento ,3,1,1, AGUAS CLARAS
620,1.100,48,Apartamento ,2,,, GUARA
621,2.000,59,Apartamento ,2,1,, LAGO NORTE
622,3.350,78,Apartamento ,3,1,, ASA SUL
623,1.200,30,Kitnet ,1,1,1, ASA NORTE
624,1.450,41,Kitnet ,1,,, ASA NORTE
625,3.400,102,Apartamento ,3,1,1, AGUAS CLARAS
626,5.000,143,Apartamento ,3,3,2, AGUAS CLARAS
627,3.500,90,Apartamento ,3,1,1, ASA SUL
628,1.000,50,Apartamento ,2,,, GUARA
629,3.700,45,Apartamento ,1,1,, ASA NORTE
630,1.200,27,Kitnet ,1,1,, LAGO NORTE
631,4.500,56,Apartamento ,2,1,1, LAGO NORTE
632,1.500,44,Apartamento ,1,1,, AGUAS CLARAS
633,3.300,71,Apartamento ,2,1,, ASA NORTE
634,5.800,98,Apartamento ,3,2,, PARK SUL
635,1.230,53,Apartamento ,2,1,1, AGUAS CLARAS
636,4.200,113,Apartamento ,3,1,2, GUARA
637,16.000,211,Apartamento ,4,3,4, GUARA
638,1.400,70,Apartamento ,3,1,2, SAMAMBAIA
639,990,30,Apartamento ,1,,, ASA SUL
640,1.850,27,Kitnet ,1,1,1, SUDOESTE
641,1.500,47,Apartamento ,1,1,1, GUARA
642,850,35,Kitnet ,1,,, ASA NORTE
643,1.800,78,Apartamento ,3,1,, GUARA
644,2.400,70,Apartamento ,3,1,1, AGUAS CLARAS
645,1.400,68,Apartamento ,2,1,1, GUARA
646,1.800,100,Apartamento ,3,1,, TAGUATINGA
647,1.170,35,Apartamento ,1,,, SOBRADINHO
648,2.000,40,Apartamento ,1,,, ASA SUL
649,1.300,80,Apartamento ,2,1,, TAGUATINGA
650,1.000,40,Apartamento ,1,,, ASA NORTE
651,1.350,65,Apartamento ,2,1,, SAO SEBASTIAO
652,3.400,94,Apartamento ,3,1,1, SUDOESTE
653,650,40,Apartamento ,1,,, TAGUATINGA
654,750,26,Apartamento ,1,1,, SUDOESTE
655,2.100,62,Apartamento ,2,,, CRUZEIRO
656,1.600,39,Apartamento ,1,1,, AGUAS CLARAS
657,650,30,Kitnet ,1,1,, LAGO NORTE
658,2.400,62,Apartamento ,2,1,1, LAGO NORTE
659,900,40,Apartamento ,1,1,1, SAMAMBAIA
660,3.800,130,Apartamento ,3,1,, ASA SUL
661,1.380,32,Apartamento ,1,1,1, AGUAS CLARAS
662,850,35,Kitnet ,1,1,, TAGUATINGA
663,2.300,80,Apartamento ,3,,, ASA SUL
664,500,33,Apartamento ,1,,, NUCLEO BANDEIRANTE
665,2.100,60,Apartamento ,2,,, SUDOESTE
666,1.100,28,Kitnet ,1,1,, PARK SUL
667,1.100,70,Apartamento ,3,,, NUCLEO BANDEIRANTE
668,4.500,78,Apartamento ,2,1,, ASA SUL
669,3.100,100,Apartamento ,2,,, ASA SUL
670,2.700,31,Apartamento ,1,1,, ASA NORTE
671,2.650,92,Apartamento ,3,1,1, AGUAS CLARAS
672,1.000,70,Apartamento ,2,,, NUCLEO BANDEIRANTE
673,1.100,47,Kitnet ,1,,, ASA NORTE
674,6.000,180,Apartamento ,3,1,1, ASA SUL
675,1.000,40,Kitnet ,1,,, AGUAS CLARAS
676,3.800,90,Apartamento ,2,1,1, ASA SUL
677,3.000,72,Apartamento ,2,1,1, SUDOESTE
678,600,18,Kitnet ,1,,, ASA SUL
679,750,30,Apartamento ,1,,, SOBRADINHO
680,2.950,91,Apartamento ,3,1,, AGUAS CLARAS
681,1.100,33,Apartamento ,1,,, SUDOESTE
682,1.500,30,Apartamento ,1,1,, AGUAS CLARAS
683,4.700,160,Apartamento ,3,1,, ASA SUL
684,650,21,Kitnet ,1,,, ASA NORTE
685,1.000,30,Kitnet ,1,1,1, ASA NORTE
686,800,38,Apartamento ,1,,, RIACHO FUNDO
687,3.850,60,Apartamento ,2,1,, LAGO NORTE
688,4.090,128,Apartamento ,3,1,1, ASA NORTE
689,1.500,29,Apartamento ,1,1,, SUDOESTE
690,800,25,Kitnet ,1,,, ASA NORTE
691,1.650,30,Kitnet ,1,1,, LAGO NORTE
692,1.300,50,Apartamento ,2,1,, TAGUATINGA
693,2.800,62,Apartamento ,2,,, SUDOESTE
694,1.000,30,Kitnet ,1,,, ASA NORTE
695,2.250,67,Apartamento ,2,,, CRUZEIRO
696,4.500,129,Apartamento ,3,1,1, ASA NORTE
697,1.000,30,Kitnet ,1,1,, SUDOESTE
698,5.000,124,Apartamento ,4,1,1, OCTOGONAL
699,690,65,Apartamento ,2,1,, CEILANDIA
700,1.500,40,Apartamento ,2,,, ASA NORTE
701,6.000,127,Apartamento ,3,3,2, NOROESTE
702,12.500,100,Apartamento ,3,1,3, ASA NORTE
703,700,29,Kitnet ,1,,, RIACHO FUNDO
704,1.100,65,Apartamento ,2,,, TAGUATINGA
705,800,31,Kitnet ,1,1,, CRUZEIRO
706,1.800,66,Apartamento ,2,1,1, AGUAS CLARAS
707,2.890,71,Apartamento ,2,1,1, ASA NORTE
708,3.300,82,Apartamento ,2,1,1, SUDOESTE
709,1.200,31,Kitnet ,1,1,1, SUDOESTE
710,1.250,55,Apartamento ,1,1,1, SOBRADINHO
711,2.800,30,Kitnet ,1,1,, ASA NORTE
712,1.600,88,Apartamento ,2,,, GUARA
713,2.300,44,Apartamento ,1,1,1, AGUAS CLARAS
714,900,23,Apartamento ,1,1,, CRUZEIRO
715,1.400,52,Apartamento ,2,1,, GUARA
716,4.500,100,Apartamento ,3,1,1, ASA NORTE
717,3.800,95,Apartamento ,3,1,1, SUDOESTE
718,3.000,63,Apartamento ,2,1,, ASA SUL
719,1.300,60,Apartamento ,2,,, GUARA
720,3.800,120,Apartamento ,3,1,1, ASA NORTE
721,1.200,80,Apartamento ,2,,, RIACHO FUNDO
722,2.300,30,Apartamento ,1,,, NOROESTE
723,950,26,Kitnet ,1,1,, ASA NORTE
724,1.500,48,Apartamento ,2,1,, JARDINS MANGUEIRAL
725,2.500,67,Apartamento ,2,1,1, GUARA
726,3.000,82,Apartamento ,3,,, ASA SUL
727,3.400,29,Apartamento ,1,1,, ASA NORTE
728,3.400,88,Apartamento ,2,1,1, ASA NORTE
729,780,36,Apartamento ,1,,, ASA NORTE
730,1.400,33,Apartamento ,1,1,1, AGUAS CLARAS
731,1.750,50,Apartamento ,1,1,1, SUDOESTE
732,2.000,93,Apartamento ,3,,, CRUZEIRO
733,1.300,40,Apartamento ,1,1,, AGUAS CLARAS
734,1.300,30,Kitnet ,1,,, ASA NORTE
735,1.100,39,Apartamento ,1,,, ASA NORTE
736,800,630,Kitnet ,1,1,, ASA NORTE
737,800,35,Kitnet ,1,,, ASA NORTE
738,700,25,Kitnet ,1,,, ASA NORTE
739,4.500,76,Apartamento ,2,1,2, NOROESTE
740,2.850,53,Apartamento ,2,1,1, LAGO NORTE
741,700,35,Apartamento ,1,1,, SAMAMBAIA
742,1.100,41,Apartamento ,2,,, GUARA
743,3.000,38,Apartamento ,1,1,1, AGUAS CLARAS
744,780,45,Apartamento ,1,,, ASA NORTE
745,720,29,Kitnet ,1,,, SUDOESTE
746,1.300,60,Apartamento ,2,1,, AGUAS CLARAS
747,1.100,89,Apartamento ,2,1,, TAGUATINGA
748,1.400,59,Apartamento ,1,1,, LAGO NORTE
749,1.300,50,Apartamento ,2,1,, GAMA
750,950,32,Apartamento ,1,,, ASA SUL
751,6.500,190,Apartamento ,3,1,1, ASA SUL
752,1.100,61,Apartamento ,2,1,1, SAMAMBAIA
753,950,47,Kitnet ,1,,, ASA NORTE
754,3.270,70,Apartamento ,3,1,, OCTOGONAL
755,3.300,80,Apartamento ,3,1,1, AGUAS CLARAS
756,850,40,Apartamento ,1,,, ASA NORTE
757,3.265,74,Apartamento ,2,1,1, AGUAS CLARAS
758,2.300,60,Apartamento ,2,,, ASA NORTE
759,2.000,60,Apartamento ,2,1,1, AGUAS CLARAS
760,2.200,78,Apartamento ,3,1,1, AGUAS CLARAS
761,2.000,52,Apartamento ,2,,, LAGO NORTE
762,3.500,26,Apartamento ,1,1,1, SUDOESTE
763,1.000,27,Apartamento ,1,1,, ASA NORTE
764,7.500,150,Apartamento ,4,2,1, SUDOESTE
765,3.200,63,Apartamento ,2,1,, GUARA
766,1.100,30,Apartamento ,1,1,, SUDOESTE
767,950,30,Kitnet ,1,,, VICENTE PIRES
768,1.350,34,Kitnet ,1,,, ASA NORTE
769,1.790,70,Apartamento ,3,,, GUARA
770,1.500,35,Apartamento ,1,1,1, TAGUATINGA
771,4.300,102,Apartamento ,3,1,1, ASA NORTE
772,1.200,25,Kitnet ,1,1,, ASA SUL
773,1.000,26,Kitnet ,1,1,1, ASA NORTE
774,2.100,52,Apartamento ,2,,, ASA NORTE
775,5.500,132,Apartamento ,3,1,2, AGUAS CLARAS
776,1.100,30,Kitnet ,1,,, ASA NORTE
777,2.900,60,Apartamento ,1,,, ASA NORTE
778,2.000,80,Apartamento ,3,,, CRUZEIRO
779,1.650,60,Apartamento ,2,1,1, AGUAS CLARAS
780,1.450,35,Kitnet ,1,,, ASA NORTE
781,650.000,47,Apartamento ,2,1,, PARK SUL
782,1.500,30,Apartamento ,1,1,, AGUAS CLARAS
783,1.300,50,Apartamento ,2,,, VICENTE PIRES
784,800,35,Apartamento ,1,,, NUCLEO BANDEIRANTE
785,1.000,60,Apartamento ,2,1,, TAGUATINGA
786,550,26,Kitnet ,1,,, TAGUATINGA
787,7.000,148,Apartamento ,4,2,2, SUDOESTE
788,1.900,58,Apartamento ,2,1,, TAGUATINGA
789,1.400,33,Kitnet ,1,1,, AGUAS CLARAS
790,1.450,36,Apartamento ,1,1,, AGUAS CLARAS
791,500,30,Kitnet ,1,,, NUCLEO BANDEIRANTE
792,3.200,60,Apartamento ,2,1,1, SUDOESTE
793,900,34,Kitnet ,1,,, SUDOESTE
794,2.500,39,Apartamento ,1,1,, NOROESTE
795,3.500,100,Apartamento ,2,1,1, LAGO NORTE
796,1.700,80,Apartamento ,3,,, AGUAS CLARAS
797,2.900,91,Apartamento ,3,1,, GUARA
798,3.200,80,Apartamento ,2,1,, LAGO SUL
799,3.900,90,Apartamento ,3,1,1, ASA NORTE
800,3.500,52,Apartamento ,2,2,1, PARK SUL
801,1.587,35,Apartamento ,1,1,, NOROESTE
802,1.800,60,Apartamento ,2,,, ASA NORTE
803,1.000,110,Apartamento ,3,1,1, PLANALTINA
804,920,27,Kitnet ,1,,, ASA NORTE
805,4.200,103,Apartamento ,3,1,1, ASA NORTE
806,1.400,62,Apartamento ,1,1,, AGUAS CLARAS
807,1.100,30,Kitnet ,1,,, ASA NORTE
808,1.300,37,Apartamento ,1,1,, AGUAS CLARAS
809,1.800,40,Apartamento ,1,1,, AGUAS CLARAS
810,3.200,70,Apartamento ,2,1,, ASA NORTE
811,4.500,90,Apartamento ,3,1,1, ASA NORTE
812,3.600,118,Apartamento ,2,1,1, ASA NORTE
813,4.200,110,Apartamento ,3,2,1, ASA NORTE
814,1.500,39,Apartamento ,1,1,1, AGUAS CLARAS
815,1.400,33,Apartamento ,1,1,, LAGO NORTE
816,750,50,Apartamento ,1,,, GUARA
817,1.790,30,Apartamento ,1,1,, ASA NORTE
818,720,40,Apartamento ,1,,, GUARA
819,4.200,70,Apartamento ,2,2,, PARK SUL
820,800,35,Kitnet ,1,,, GUARA
821,1.300,27,Kitnet ,1,1,, ASA NORTE
822,13.000,307,Apartamento ,4,2,3, SUDOESTE
823,6.200,168,Apartamento ,4,1,2, AGUAS CLARAS
824,1.750,33,Apartamento ,1,1,, AGUAS CLARAS
825,5.500,150,Apartamento ,3,1,, ASA SUL
826,1.000,50,Apartamento ,2,,, GUARA
827,4.200,79,Apartamento ,2,1,1, ASA NORTE
828,980,50,Apartamento ,2,1,, AGUAS CLARAS
829,1.200,57,Apartamento ,2,1,1, VALPARAISO DE GOIAS
830,1.400,60,Apartamento ,2,1,, SAMAMBAIA
831,1.500,39,Apartamento ,1,1,1, AGUAS CLARAS
832,2.300,69,Apartamento ,3,1,1, AGUAS CLARAS
833,2.300,51,Apartamento ,1,,, LAGO NORTE
834,2.100,33,Kitnet ,1,1,1, NOROESTE
835,1.000,28,Kitnet ,1,,, LAGO NORTE
836,970,40,Apartamento ,1,,, GUARA
837,1.300,30,Kitnet ,1,,, SUDOESTE
838,4.350,90,Apartamento ,3,1,, ASA SUL
839,1.150,40,Apartamento ,1,,, ASA NORTE
840,1.400,33,Apartamento ,1,1,, AGUAS CLARAS
841,1.790,45,Apartamento ,2,,, CRUZEIRO
842,1.400,36,Apartamento ,1,1,1, TAGUATINGA
843,2.000,74,Apartamento ,3,1,, GUARA
844,1.050,33,Kitnet ,1,1,1, AGUAS CLARAS
845,5.500,100,Apartamento ,3,1,2, NOROESTE
846,3.200,106,Apartamento ,3,1,, AGUAS CLARAS
847,1.100,42,Kitnet ,1,,, ASA NORTE
848,600,18,Kitnet ,1,,, ASA SUL
849,3.500,85,Apartamento ,3,,, ASA SUL
850,1.500,80,Apartamento ,1,,, JARDIM BOTANICO
851,3.200,75,Apartamento ,1,1,1, ASA NORTE
852,4.500,140,Apartamento ,3,1,1, ASA SUL
853,750,30,Kitnet ,1,,, SUDOESTE
854,2.700,82,Apartamento ,2,1,1, AGUAS CLARAS
855,2.000,52,Apartamento ,1,1,1, LAGO NORTE
856,8.600,163,Apartamento ,4,4,3, NOROESTE
857,810,40,Apartamento ,1,,, GUARA
858,1.000,30,Apartamento ,1,1,, SUDOESTE
859,1.299,24,Apartamento ,1,1,, AGUAS CLARAS
860,1.450,27,Kitnet ,1,1,, ASA NORTE
861,800,30,Apartamento ,1,,, ASA NORTE
862,900,31,Kitnet ,1,2,, SUDOESTE
863,1.500,33,Apartamento ,1,1,1, AGUAS CLARAS
864,1.000,26,Apartamento ,1,1,, SUDOESTE
865,800,55,Apartamento ,2,1,, TAGUATINGA
866,3.300,96,Apartamento ,2,1,, ASA NORTE
867,1.100,35,Apartamento ,1,,, GUARA
868,6.500,158,Apartamento ,3,1,1, ASA SUL
869,1.650,30,Apartamento ,1,1,1, LAGO NORTE
870,800,32,Kitnet ,1,,, ASA NORTE
871,2.100,75,Apartamento ,3,,, CRUZEIRO
872,2.000,33,Apartamento ,1,1,1, AGUAS CLARAS
873,1.100,55,Apartamento ,2,1,, TAGUATINGA
874,1.200,38,Kitnet ,1,,, SUDOESTE
875,1.200,28,Kitnet ,1,1,, LAGO NORTE
876,11.200,223,Apartamento ,3,1,2, NOROESTE
877,800,30,Kitnet ,1,,, ASA NORTE
878,4.500,128,Apartamento ,4,1,2, AGUAS CLARAS
879,850,35,Kitnet ,1,1,, AGUAS CLARAS
880,1.400,34,Apartamento ,1,1,1, AGUAS CLARAS
881,600,40,Apartamento ,1,,, TAGUATINGA
882,1.790,50,Apartamento ,2,1,, JARDINS MANGUEIRAL
883,1.400,35,Apartamento ,1,,, ASA NORTE
884,4.000,103,Apartamento ,3,1,2, AGUAS CLARAS
885,1.800,38,Apartamento ,1,1,, AGUAS CLARAS
886,5.000,116,Apartamento ,3,1,2, GUARA
887,800,35,Kitnet ,1,,, ASA NORTE
888,2.500,69,Apartamento ,2,1,1, LAGO NORTE
889,6.000,109,Apartamento ,2,1,1, NOROESTE
890,1.800,68,Apartamento ,3,1,, GUARA
891,800,30,Kitnet ,1,,, SAMAMBAIA
892,900,30,Kitnet ,1,1,, SUDOESTE
893,1.200,30,Kitnet ,1,1,, LAGO NORTE
894,5.200,115,Apartamento ,3,1,1, ASA NORTE
895,1.200,30,Apartamento ,1,1,, GUARA
896,14.000,185,Apartamento ,3,3,3, NOROESTE
897,1.550,37,Apartamento ,1,1,, NOROESTE
898,1.250,60,Apartamento ,2,1,1, GUARA
899,1.190,46,Apartamento ,1,,, ASA NORTE
900,1.800,38,Apartamento ,1,,, AGUAS CLARAS
901,1.400,37,Apartamento ,1,1,, OCTOGONAL
902,1.200,34,Kitnet ,1,,, AGUAS CLARAS
903,3.499,74,Apartamento ,2,1,, ASA SUL
904,2.800,100,Apartamento ,3,1,1, AGUAS CLARAS
905,7.000,139,Apartamento ,3,3,2, NOROESTE
906,3.300,79,Apartamento ,3,1,2, GUARA
907,1.500,64,Apartamento ,2,1,, AGUAS CLARAS
908,1.000,28,Apartamento ,1,1,, AGUAS CLARAS
909,2.500,44,Apartamento ,1,1,1, AGUAS CLARAS
910,1.100,30,Kitnet ,1,,, ASA NORTE
911,700,45,Kitnet ,1,,, SAMAMBAIA
912,9.500,196,Apartamento ,4,2,1, ASA NORTE
913,5.800,140,Apartamento ,2,1,2, SUDOESTE
914,800,31,Kitnet ,1,,, ASA NORTE
915,1.900,55,Apartamento ,2,1,1, AGUAS CLARAS
916,1.900,55,Apartamento ,2,1,, GUARA
917,3.900,73,Apartamento ,2,2,, PARK SUL
918,1.600,35,Apartamento ,1,1,, ASA SUL
919,650,52,Apartamento ,2,2,, VALPARAISO DE GOIAS
920,1.700,26,Apartamento ,1,1,, AGUAS CLARAS
921,1.250,43,Apartamento ,1,1,1, AGUAS CLARAS
922,2.200,59,Apartamento ,1,1,, LAGO NORTE
923,3.100,89,Apartamento ,3,1,1, AGUAS CLARAS
924,1.900,25,Kitnet ,1,1,1, ASA SUL
925,550,30,Apartamento ,1,1,, RIACHO FUNDO
926,1.200,50,Apartamento ,2,1,, SAMAMBAIA
927,4.500,107,Apartamento ,3,1,1, ASA NORTE
928,1.450,48,Apartamento ,1,1,, ASA SUL
929,900,37,Kitnet ,1,,, ASA NORTE
930,2.800,44,Apartamento ,1,,, AGUAS CLARAS
931,1.000,25,Kitnet ,1,1,, ASA NORTE
932,1.350,36,Apartamento ,1,,, PARK SUL
933,1.500,27,Kitnet ,1,1,, SUDOESTE
934,5.900,117,Apartamento ,3,1,2, NOROESTE
935,1.700,34,Kitnet ,1,1,, SUDOESTE
936,2.880,80,Apartamento ,3,1,1, AGUAS CLARAS
937,1.200,33,Apartamento ,1,1,, AGUAS CLARAS
938,1.130,36,Kitnet ,1,,, AGUAS CLARAS
939,3.400,86,Apartamento ,3,,, ASA SUL
940,3.100,77,Apartamento ,3,,, ASA NORTE
941,2.800,62,Apartamento ,2,1,1, LAGO NORTE
942,3.300,120,Apartamento ,3,1,1, AGUAS CLARAS
943,1.900,53,Apartamento ,2,,, ASA SUL
944,2.600,86,Apartamento ,3,1,1, AGUAS CLARAS
945,3.500,85,Apartamento ,3,1,, ASA NORTE
946,2.000,67,Apartamento ,2,,, ASA SUL
947,1.190,26,Kitnet ,1,1,1, SUDOESTE
948,920,35,Apartamento ,1,1,, SOBRADINHO
949,1.300,60,Apartamento ,2,,, ASA NORTE
950,1.300,60,Apartamento ,2,,, RIACHO FUNDO
951,1.200,28,Kitnet ,1,1,, ASA NORTE
952,1.700,32,Kitnet ,1,1,, SUDOESTE
953,6.900,131,Apartamento ,3,1,1, ASA NORTE
954,1.200,25,Kitnet ,1,1,, SUDOESTE
955,1.800,100,Apartamento ,3,1,1, FORMOSA
956,800,29,Kitnet ,1,,, AGUAS CLARAS
957,600,50,Apartamento ,2,,, VALPARAISO DE GOIAS
958,2.700,67,Apartamento ,2,1,, LAGO NORTE
959,4.500,142,Apartamento ,4,1,2, AGUAS CLARAS
960,750,27,Apartamento ,1,1,, ASA NORTE
961,720,30,Apartamento ,1,,, ASA NORTE
962,680,34,Kitnet ,1,1,, VICENTE PIRES
963,4.300,110,Apartamento ,4,2,2, AGUAS CLARAS
964,800,25,Apartamento ,1,,, ASA NORTE
965,4.300,95,Apartamento ,2,1,, LAGO NORTE
966,1.000,58,Apartamento ,2,1,, CEILANDIA
967,1.400,90,Apartamento ,3,1,, GUARA
968,1.400,34,Kitnet ,1,,, SUDOESTE
969,12.000,211,Apartamento ,4,4,3, NOROESTE
970,800,75,Apartamento ,2,,, PARANOA
971,1.000,40,Kitnet ,1,,, GUARA
972,2.700,71,Apartamento ,2,1,, ASA NORTE
973,1.444,51,Apartamento ,2,,, VICENTE PIRES
974,700,11,Kitnet ,1,,, ASA NORTE
975,4.500,85,Apartamento ,2,1,2, NOROESTE
976,5.700,109,Apartamento ,3,2,1, ASA NORTE
977,2.000,42,Kitnet ,1,1,1, SUDOESTE
978,1.620,64,Apartamento ,2,,, GUARA
979,850,70,Apartamento ,2,1,, SANTA MARIA
